model,seed,mse,rmse,mae,r2,train_time_s,infer_time_s,n_test_samples,wall_train_start_iso,wall_train_end_iso,wall_infer_start_iso,wall_infer_end_iso
Lasso +NLP,2,0.0055757864715771524,0.07467118903283348,0.059627589625029856,-0.00030895279763898387,0.0004620552062988281,6.818771362304688e-05,622,2026-05-07T22:54:10.059999+00:00,2026-05-07T22:54:10.060466+00:00,2026-05-07T22:54:10.060470+00:00,2026-05-07T22:54:10.060541+00:00
Lasso,3,0.0055757864715771524,0.07467118903283348,0.059627589625029856,-0.00030895279763898387,0.0004563331604003906,6.198883056640625e-05,622,2026-05-07T22:54:10.061098+00:00,2026-05-07T22:54:10.061560+00:00,2026-05-07T22:54:10.061564+00:00,2026-05-07T22:54:10.061629+00:00
Lasso +NLP,3,0.0055757864715771524,0.07467118903283348,0.059627589625029856,-0.00030895279763898387,0.00045990943908691406,6.723403930664062e-05,622,2026-05-07T22:54:10.062135+00:00,2026-05-07T22:54:10.062600+00:00,2026-05-07T22:54:10.062604+00:00,2026-05-07T22:54:10.062674+00:00
Lasso,4,0.0055757864715771524,0.07467118903283348,0.059627589625029856,-0.00030895279763898387,0.00045418739318847656,6.103515625e-05,622,2026-05-07T22:54:10.063216+00:00,2026-05-07T22:54:10.063675+00:00,2026-05-07T22:54:10.063679+00:00,2026-05-07T22:54:10.063743+00:00
Lasso +NLP,4,0.0055757864715771524,0.07467118903283348,0.059627589625029856,-0.00030895279763898387,0.0004711151123046875,6.461143493652344e-05,622,2026-05-07T22:54:10.064252+00:00,2026-05-07T22:54:10.064728+00:00,2026-05-07T22:54:10.064733+00:00,2026-05-07T22:54:10.064800+00:00
Lasso,5,0.0055757864715771524,0.07467118903283348,0.059627589625029856,-0.00030895279763898387,0.00044989585876464844,6.151199340820312e-05,622,2026-05-07T22:54:10.065325+00:00,2026-05-07T22:54:10.065780+00:00,2026-05-07T22:54:10.065785+00:00,2026-05-07T22:54:10.065849+00:00
Lasso +NLP,5,0.0055757864715771524,0.07467118903283348,0.059627589625029856,-0.00030895279763898387,0.00047516822814941406,6.341934204101562e-05,622,2026-05-07T22:54:10.066362+00:00,2026-05-07T22:54:10.066842+00:00,2026-05-07T22:54:10.066846+00:00,2026-05-07T22:54:10.066912+00:00
Lasso,6,0.0055757864715771524,0.07467118903283348,0.059627589625029856,-0.00030895279763898387,0.0004754066467285156,6.508827209472656e-05,622,2026-05-07T22:54:10.067449+00:00,2026-05-07T22:54:10.067929+00:00,2026-05-07T22:54:10.067934+00:00,2026-05-07T22:54:10.068001+00:00
Lasso +NLP,6,0.0055757864715771524,0.07467118903283348,0.059627589625029856,-0.00030895279763898387,0.00046753883361816406,6.365776062011719e-05,622,2026-05-07T22:54:10.068534+00:00,2026-05-07T22:54:10.069006+00:00,2026-05-07T22:54:10.069010+00:00,2026-05-07T22:54:10.069076+00:00
Lasso,7,0.0055757864715771524,0.07467118903283348,0.059627589625029856,-0.00030895279763898387,0.0004572868347167969,6.365776062011719e-05,622,2026-05-07T22:54:10.069599+00:00,2026-05-07T22:54:10.070061+00:00,2026-05-07T22:54:10.070066+00:00,2026-05-07T22:54:10.070132+00:00
Lasso +NLP,7,0.0055757864715771524,0.07467118903283348,0.059627589625029856,-0.00030895279763898387,0.00047898292541503906,6.341934204101562e-05,622,2026-05-07T22:54:10.070679+00:00,2026-05-07T22:54:10.071163+00:00,2026-05-07T22:54:10.071167+00:00,2026-05-07T22:54:10.071233+00:00
Lasso,8,0.0055757864715771524,0.07467118903283348,0.059627589625029856,-0.00030895279763898387,0.000469207763671875,6.413459777832031e-05,622,2026-05-07T22:54:10.071779+00:00,2026-05-07T22:54:10.072253+00:00,2026-05-07T22:54:10.072258+00:00,2026-05-07T22:54:10.072325+00:00
Lasso +NLP,8,0.0055757864715771524,0.07467118903283348,0.059627589625029856,-0.00030895279763898387,0.000469207763671875,6.318092346191406e-05,622,2026-05-07T22:54:10.072870+00:00,2026-05-07T22:54:10.073344+00:00,2026-05-07T22:54:10.073348+00:00,2026-05-07T22:54:10.073414+00:00
Lasso,9,0.0055757864715771524,0.07467118903283348,0.059627589625029856,-0.00030895279763898387,0.00045371055603027344,6.29425048828125e-05,622,2026-05-07T22:54:10.073948+00:00,2026-05-07T22:54:10.074406+00:00,2026-05-07T22:54:10.074411+00:00,2026-05-07T22:54:10.074476+00:00
Lasso +NLP,9,0.0055757864715771524,0.07467118903283348,0.059627589625029856,-0.00030895279763898387,0.00047278404235839844,6.866455078125e-05,622,2026-05-07T22:54:10.075011+00:00,2026-05-07T22:54:10.075489+00:00,2026-05-07T22:54:10.075493+00:00,2026-05-07T22:54:10.075565+00:00
Elastic Net,0,0.0055757864715771524,0.07467118903283348,0.059627589625029856,-0.00030895279763898387,0.0004754066467285156,6.437301635742188e-05,622,2026-05-07T22:54:10.076131+00:00,2026-05-07T22:54:10.076612+00:00,2026-05-07T22:54:10.076616+00:00,2026-05-07T22:54:10.076683+00:00
