model,seed,accuracy,f1,train_time_s,infer_time_s,n_test_samples,wall_train_start_iso,wall_train_end_iso,wall_infer_start_iso,wall_infer_end_iso,energy_train_cpu_kwh,energy_train_gpu_kwh,energy_train_kwh,energy_train_duration_s,energy_train_n_samples,energy_infer_cpu_kwh,energy_infer_gpu_kwh,energy_infer_kwh,energy_infer_duration_s,energy_infer_n_samples
BERT-base,0,0.4029850746268656,0.3397522866918405,45.70479798316956,0.8475227355957031,2546,2026-05-07T22:28:24.989033+00:00,2026-05-07T22:29:10.693845+00:00,2026-05-07T22:29:11.510084+00:00,2026-05-07T22:29:12.357612+00:00,0.0005014483380203615,0.003817685227056667,0.004319133565077028,45.704812,46,1.0490916442295552e-05,7.107699402222221e-05,8.156791046451776e-05,0.847528,4
BERT-base,1,0.401413982717989,0.3478805568525974,45.82152605056763,0.8399515151977539,2546,2026-05-07T22:29:13.071055+00:00,2026-05-07T22:29:58.892630+00:00,2026-05-07T22:29:59.714467+00:00,2026-05-07T22:30:00.554424+00:00,0.0005022358156236222,0.003818810055381389,0.004321045871005011,45.821575,46,1.0338788017702533e-05,6.802877072988888e-05,7.836755874759141e-05,0.839957,5
BERT-base,2,0.4010212097407698,0.3439447906623871,45.93580389022827,0.855445146560669,2546,2026-05-07T22:30:01.177851+00:00,2026-05-07T22:30:47.113674+00:00,2026-05-07T22:30:47.933555+00:00,2026-05-07T22:30:48.789007+00:00,0.0005171074908711257,0.003807924561738472,0.004325032052609598,45.935823,46,1.0568665948528493e-05,6.89961008591111e-05,7.95647668076396e-05,0.855452,5
BERT-base,3,0.401413982717989,0.3287142529313124,46.31859564781189,0.8528692722320557,2546,2026-05-07T22:30:49.411021+00:00,2026-05-07T22:31:35.729639+00:00,2026-05-07T22:31:36.541117+00:00,2026-05-07T22:31:37.393993+00:00,0.0005523135844679966,0.0038668078098022226,0.004419121394270219,46.318618,47,1.0518576750316908e-05,7.2335114334e-05,8.28536910843169e-05,0.852876,5
BERT-base,4,0.420267085624509,0.30487536162928,45.84682035446167,0.8516671657562256,2546,2026-05-07T22:31:38.065302+00:00,2026-05-07T22:32:23.912161+00:00,2026-05-07T22:32:24.733312+00:00,2026-05-07T22:32:25.584985+00:00,0.0005214061877237033,0.003813613077104028,0.004335019264827732,45.846859,46,1.1060383854637526e-05,7.000261165145835e-05,8.106299550609587e-05,0.851673,4
BERT-base,5,0.3837391987431264,0.3324315236981686,46.55336380004883,0.8633716106414795,2546,2026-05-07T22:32:26.222640+00:00,2026-05-07T22:33:12.776024+00:00,2026-05-07T22:33:13.610495+00:00,2026-05-07T22:33:14.473873+00:00,0.0005908800165563939,0.0038736886602700007,0.004464568676826395,46.553384,47,1.1535167953550458e-05,6.951593490977777e-05,8.105110286332823e-05,0.863378,5
BERT-base,6,0.4080911233307148,0.3122374187508689,46.141719818115234,0.8743228912353516,2546,2026-05-07T22:33:15.122676+00:00,2026-05-07T22:34:01.264410+00:00,2026-05-07T22:34:02.122970+00:00,2026-05-07T22:34:02.997300+00:00,0.0005418018645801564,0.003808096416061112,0.0043498982806412685,46.141734,46,1.1177210547924957e-05,7.051005140666667e-05,8.168726195459162e-05,0.87433,5
BERT-base,7,0.4363707776904948,0.2651396959333551,46.03005361557007,0.8813691139221191,2546,2026-05-07T22:34:03.673240+00:00,2026-05-07T22:34:49.703318+00:00,2026-05-07T22:34:50.548591+00:00,2026-05-07T22:34:51.429969+00:00,0.0005384559302781328,0.003791154930076805,0.004329610860354938,46.030078,46,1.1575906102634921e-05,7.009912612844443e-05,8.167503223107936e-05,0.881378,5
BERT-base,8,0.3955223880597014,0.3541519727200581,46.01279950141907,0.8759918212890625,2546,2026-05-07T22:34:52.076695+00:00,2026-05-07T22:35:38.089519+00:00,2026-05-07T22:35:38.935814+00:00,2026-05-07T22:35:39.811812+00:00,0.0005467027532891566,0.003812984593140277,0.004359687346429434,46.012824,46,1.1933948905017872e-05,7.211854284541668e-05,8.405249175043455e-05,0.875998,4
BERT-base,9,0.3798114689709348,0.342565354827448,45.99187755584717,0.8926434516906738,2546,2026-05-07T22:35:40.441173+00:00,2026-05-07T22:36:26.433064+00:00,2026-05-07T22:36:27.297618+00:00,2026-05-07T22:36:28.190268+00:00,0.0005520981189645078,0.0038098988680556945,0.0043619969870202025,45.991891,46,1.1955483117602012e-05,7.018624277500002e-05,8.214172589260203e-05,0.89265,5
