model,seed,mse,rmse,mae,r2,train_time_s,infer_time_s,n_test_samples,wall_train_start_iso,wall_train_end_iso,wall_infer_start_iso,wall_infer_end_iso,energy_train_cpu_kwh,energy_train_gpu_kwh,energy_train_kwh,energy_train_duration_s,energy_train_n_samples,energy_infer_cpu_kwh,energy_infer_gpu_kwh,energy_infer_kwh,energy_infer_duration_s,energy_infer_n_samples
Ridge +NLP,0,0.0056192118906758,0.0749614026728143,0.0569058303316718,-0.0080995731387902,0.000356912612915,5.507469177246094e-05,622,2026-05-07T22:54:10.032414+00:00,2026-05-07T22:54:10.032774+00:00,2026-05-07T22:54:10.032778+00:00,2026-05-07T22:54:10.032835+00:00,5.4070660363914574e-09,7.110175000000002e-09,1.251724103639146e-08,0.00036,4,8.56118789095314e-10,1.1257777083333334e-09,1.9818964974286475e-09,5.7e-05,4
Ridge,1,0.0056466009833184,0.0751438685676915,0.0572680197820301,-0.0130132395281212,0.0003368854522705,4.076957702636719e-05,622,2026-05-07T22:54:10.033288+00:00,2026-05-07T22:54:10.033628+00:00,2026-05-07T22:54:10.033631+00:00,2026-05-07T22:54:10.033674+00:00,5.106673478814154e-09,6.7151652777777794e-09,1.1821838756591934e-08,0.00034,4,6.458439987912018e-10,8.492709027777779e-10,1.4951149015689798e-09,4.3e-05,4
Ridge +NLP,1,0.0056192118906758,0.0749614026728143,0.0569058303316718,-0.0080995731387902,0.0003409385681152,4.3392181396484375e-05,622,2026-05-07T22:54:10.034021+00:00,2026-05-07T22:54:10.034365+00:00,2026-05-07T22:54:10.034368+00:00,2026-05-07T22:54:10.034413+00:00,5.166751990329615e-09,6.7941672222222236e-09,1.1960919212551838e-08,0.000344,4,6.758832545489322e-10,8.887718750000002e-10,1.5646551295489325e-09,4.5e-05,4
Ridge,2,0.0056466009833184,0.0751438685676915,0.0572680197820301,-0.0130132395281212,0.0003080368041992,4.649162292480469e-05,622,2026-05-07T22:54:10.034782+00:00,2026-05-07T22:54:10.035094+00:00,2026-05-07T22:54:10.035097+00:00,2026-05-07T22:54:10.035145+00:00,4.686123898205929e-09,6.162151666666667e-09,1.0848275564872596e-08,0.000312,4,7.209421381855276e-10,9.480233333333335e-10,1.6689654715188611e-09,4.8e-05,4
Ridge +NLP,2,0.0056192118906758,0.0749614026728143,0.0569058303316718,-0.0080995731387902,0.000324010848999,4.172325134277344e-05,622,2026-05-07T22:54:10.035529+00:00,2026-05-07T22:54:10.035857+00:00,2026-05-07T22:54:10.035859+00:00,2026-05-07T22:54:10.035902+00:00,4.926437944267772e-09,6.4781594444444454e-09,1.1404597388712217e-08,0.000328,4,6.458439987912018e-10,8.492709027777779e-10,1.4951149015689798e-09,4.3e-05,4
Ridge,3,0.0056466009833184,0.0751438685676915,0.0572680197820301,-0.0130132395281212,0.0003209114074707,4.220008850097656e-05,622,2026-05-07T22:54:10.036283+00:00,2026-05-07T22:54:10.036608+00:00,2026-05-07T22:54:10.036612+00:00,2026-05-07T22:54:10.036655+00:00,4.881379060631176e-09,6.418907986111111e-09,1.1300287046742286e-08,0.000325,4,6.458439987912018e-10,8.492709027777779e-10,1.4951149015689798e-09,4.3e-05,4
Ridge +NLP,3,0.0056192118906758,0.0749614026728143,0.0569058303316718,-0.0080995731387902,0.0003376007080078,4.315376281738281e-05,622,2026-05-07T22:54:10.037011+00:00,2026-05-07T22:54:10.037352+00:00,2026-05-07T22:54:10.037356+00:00,2026-05-07T22:54:10.037401+00:00,5.1216931066930195e-09,6.73491576388889e-09,1.185660887058191e-08,0.000341,4,6.758832545489322e-10,8.887718750000002e-10,1.5646551295489325e-09,4.5e-05,4
Ridge,4,0.0056466009833184,0.0751438685676915,0.0572680197820301,-0.0130132395281212,0.0003049373626708,4.076957702636719e-05,622,2026-05-07T22:54:10.037771+00:00,2026-05-07T22:54:10.038080+00:00,2026-05-07T22:54:10.038083+00:00,2026-05-07T22:54:10.038125+00:00,4.641065014569334e-09,6.102900208333334e-09,1.0743965222902668e-08,0.000309,4,6.308243709123366e-10,8.295204166666667e-10,1.4603447875790032e-09,4.2e-05,4
Ridge +NLP,4,0.0056192118906758,0.0749614026728143,0.0569058303316718,-0.0080995731387902,0.0003342628479003,4.220008850097656e-05,622,2026-05-07T22:54:10.038482+00:00,2026-05-07T22:54:10.038821+00:00,2026-05-07T22:54:10.038824+00:00,2026-05-07T22:54:10.038868+00:00,5.091653850935289e-09,6.695414791666668e-09,1.1787068642601956e-08,0.000339,4,7.045302028276683e-10,7.864592592592592e-10,1.4909894620869276e-09,4.4e-05,3
Ridge,5,0.0056466009833184,0.0751438685676915,0.0572680197820301,-0.0130132395281212,0.000317096710205,5.53131103515625e-05,622,2026-05-07T22:54:10.039232+00:00,2026-05-07T22:54:10.039552+00:00,2026-05-07T22:54:10.039556+00:00,2026-05-07T22:54:10.039612+00:00,5.123856020564861e-09,5.719703703703704e-09,1.0843559724268564e-08,0.00032,3,8.966748035988505e-10,1.000948148148148e-09,1.8976229517469984e-09,5.6e-05,3
Ridge +NLP,5,0.0056192118906758,0.0749614026728143,0.0569058303316718,-0.0080995731387902,0.0003314018249511,4.458427429199219e-05,622,2026-05-07T22:54:10.039993+00:00,2026-05-07T22:54:10.040328+00:00,2026-05-07T22:54:10.040331+00:00,2026-05-07T22:54:10.040377+00:00,5.364036771528839e-09,5.987814814814815e-09,1.1351851586343654e-08,0.000335,3,7.365543029561988e-10,8.222074074074074e-10,1.5587617103636063e-09,4.6e-05,3
Ridge,6,0.0056466009833184,0.0751438685676915,0.0572680197820301,-0.0130132395281212,0.0003163814544677,4.076957702636719e-05,622,2026-05-07T22:54:10.040738+00:00,2026-05-07T22:54:10.041059+00:00,2026-05-07T22:54:10.041062+00:00,2026-05-07T22:54:10.041104+00:00,5.139868070629126e-09,5.737577777777777e-09,1.0877445848406902e-08,0.000321,3,6.725061026991379e-10,7.507111111111109e-10,1.4232172138102488e-09,4.2e-05,3
Ridge +NLP,6,0.0056192118906758,0.0749614026728143,0.0569058303316718,-0.0080995731387902,0.0003385543823242,4.315376281738281e-05,622,2026-05-07T22:54:10.041460+00:00,2026-05-07T22:54:10.041802+00:00,2026-05-07T22:54:10.041805+00:00,2026-05-07T22:54:10.041850+00:00,5.4761211219786945e-09,6.112933333333333e-09,1.1589054455312029e-08,0.000342,3,7.205422528919336e-10,8.043333333333333e-10,1.524875586225267e-09,4.5e-05,3
Ridge,7,0.0056466009833184,0.0751438685676915,0.0572680197820301,-0.0130132395281212,0.0003116130828857,5.054473876953125e-05,622,2026-05-07T22:54:10.042220+00:00,2026-05-07T22:54:10.042535+00:00,2026-05-07T22:54:10.042539+00:00,2026-05-07T22:54:10.042591+00:00,6.033140067995089e-09,5.875690625e-09,1.1908830692995089e-08,0.000315,4,9.959469318595068e-10,9.699552777777777e-10,1.9659022096372847e-09,5.2e-05,4
Ridge +NLP,7,0.0056192118906758,0.0749614026728143,0.0569058303316718,-0.0080995731387902,0.0003325939178466,4.553794860839844e-05,622,2026-05-07T22:54:10.042973+00:00,2026-05-07T22:54:10.043309+00:00,2026-05-07T22:54:10.043312+00:00,2026-05-07T22:54:10.043359+00:00,6.435349405861428e-09,6.2674033333333326e-09,1.270275273919476e-08,0.000336,4,9.001828037960926e-10,8.766903472222223e-10,1.7768731510183148e-09,4.7e-05,4
Ridge,8,0.0056466009833184,0.0751438685676915,0.0572680197820301,-0.0130132395281212,0.0003259181976318,4.267692565917969e-05,622,2026-05-07T22:54:10.043725+00:00,2026-05-07T22:54:10.044054+00:00,2026-05-07T22:54:10.044058+00:00,2026-05-07T22:54:10.044102+00:00,6.301279626572648e-09,6.136832430555556e-09,1.2438112057128205e-08,0.000329,4,8.427243269580441e-10,8.207313888888889e-10,1.663455715846933e-09,4.4e-05,4
Ridge +NLP,8,0.0056192118906758,0.0749614026728143,0.0569058303316718,-0.0080995731387902,0.0003290176391601,4.744529724121094e-05,622,2026-05-07T22:54:10.044465+00:00,2026-05-07T22:54:10.044798+00:00,2026-05-07T22:54:10.044801+00:00,2026-05-07T22:54:10.044850+00:00,6.37789092902338e-09,6.211444375e-09,1.258933530402338e-08,0.000333,4,9.384884550214583e-10,9.139963194444445e-10,1.8524847744659028e-09,4.9e-05,4
Ridge,9,0.0056466009833184,0.0751438685676915,0.0572680197820301,-0.0130132395281212,0.0003197193145751,4.172325134277344e-05,622,2026-05-07T22:54:10.045241+00:00,2026-05-07T22:54:10.045564+00:00,2026-05-07T22:54:10.045567+00:00,2026-05-07T22:54:10.045610+00:00,6.186362672896551e-09,6.024914513888888e-09,1.2211277186785439e-08,0.000323,4,8.235715013453613e-10,8.020784027777777e-10,1.625649904123139e-09,4.3e-05,4
Ridge +NLP,9,0.0056192118906758,0.0749614026728143,0.0569058303316718,-0.0080995731387902,0.0003321170806884,4.291534423828125e-05,622,2026-05-07T22:54:10.045967+00:00,2026-05-07T22:54:10.046303+00:00,2026-05-07T22:54:10.046307+00:00,2026-05-07T22:54:10.046351+00:00,6.435349405861428e-09,6.2674033333333326e-09,1.270275273919476e-08,0.000336,4,8.427243269580441e-10,8.207313888888889e-10,1.663455715846933e-09,4.4e-05,4
Lasso,0,0.0055757864715771,0.0746711890328334,0.0596275896250298,-0.0003089527976389,0.0084080696105957,9.703636169433594e-05,622,2026-05-07T22:54:10.046718+00:00,2026-05-07T22:54:10.055130+00:00,2026-05-07T22:54:10.055137+00:00,2026-05-07T22:54:10.055238+00:00,1.611135690538879e-07,1.5690891916666667e-07,3.180224882205546e-07,0.008412,4,1.934435386880965e-09,1.8839515972222224e-09,3.8183869841031875e-09,0.000101,4
Lasso +NLP,0,0.0055757864715771,0.0746711890328334,0.0596275896250298,-0.0003089527976389,0.0004606246948242,6.198883056640625e-05,622,2026-05-07T22:54:10.055789+00:00,2026-05-07T22:54:10.056254+00:00,2026-05-07T22:54:10.056259+00:00,2026-05-07T22:54:10.056323+00:00,8.906063909897513e-09,8.673638541666667e-09,1.757970245156418e-08,0.000465,4,1.2257808392117007e-09,1.1937911111111112e-09,2.4195719503228117e-09,6.4e-05,4
Lasso,1,0.0055757864715771,0.0746711890328334,0.0596275896250298,-0.0003089527976389,0.00044846534729,6.29425048828125e-05,622,2026-05-07T22:54:10.056849+00:00,2026-05-07T22:54:10.057302+00:00,2026-05-07T22:54:10.057307+00:00,2026-05-07T22:54:10.057372+00:00,8.676230002545319e-09,8.449802708333333e-09,1.7126032710878652e-08,0.000453,4,1.2449336648243834e-09,1.2124440972222221e-09,2.4573777620466057e-09,6.5e-05,4
Lasso +NLP,1,0.0055757864715771,0.0746711890328334,0.0596275896250298,-0.0003089527976389,0.000457763671875,6.67572021484375e-05,622,2026-05-07T22:54:10.057874+00:00,2026-05-07T22:54:10.058336+00:00,2026-05-07T22:54:10.058341+00:00,2026-05-07T22:54:10.058410+00:00,8.848605433059465e-09,8.617679583333333e-09,1.7466285016392798e-08,0.000462,4,1.3215449672751148e-09,1.2870560416666666e-09,2.6086010089417817e-09,6.9e-05,4
Lasso,2,0.0055757864715771,0.0746711890328334,0.0596275896250298,-0.0003089527976389,0.0004630088806152,6.246566772460938e-05,622,2026-05-07T22:54:10.058955+00:00,2026-05-07T22:54:10.059422+00:00,2026-05-07T22:54:10.059427+00:00,2026-05-07T22:54:10.059492+00:00,8.944369561122878e-09,8.710944513888888e-09,1.7655314075011765e-08,0.000467,4,1.2449336648243834e-09,1.2124440972222221e-09,2.4573777620466057e-09,6.5e-05,4
Lasso +NLP,2,0.0055757864715771,0.0746711890328334,0.0596275896250298,-0.0003089527976389,0.0004620552062988,6.818771362304688e-05,622,2026-05-07T22:54:10.059999+00:00,2026-05-07T22:54:10.060466+00:00,2026-05-07T22:54:10.060470+00:00,2026-05-07T22:54:10.060541+00:00,8.944369561122878e-09,8.710944513888888e-09,1.7655314075011765e-08,0.000467,4,1.3598506185004805e-09,1.324362013888889e-09,2.6842126323893696e-09,7.1e-05,4
Lasso,3,0.0055757864715771,0.0746711890328334,0.0596275896250298,-0.0003089527976389,0.0004563331604003,6.198883056640625e-05,622,2026-05-07T22:54:10.061098+00:00,2026-05-07T22:54:10.061560+00:00,2026-05-07T22:54:10.061564+00:00,2026-05-07T22:54:10.061629+00:00,8.848605433059465e-09,8.617679583333333e-09,1.7466285016392798e-08,0.000462,4,1.2449336648243834e-09,1.2124440972222221e-09,2.4573777620466057e-09,6.5e-05,4
Lasso +NLP,3,0.0055757864715771,0.0746711890328334,0.0596275896250298,-0.0003089527976389,0.0004599094390869,6.723403930664062e-05,622,2026-05-07T22:54:10.062135+00:00,2026-05-07T22:54:10.062600+00:00,2026-05-07T22:54:10.062604+00:00,2026-05-07T22:54:10.062674+00:00,8.906063909897513e-09,8.673638541666667e-09,1.757970245156418e-08,0.000465,4,1.3406977928877973e-09,1.3057090277777777e-09,2.646406820665575e-09,7e-05,4
