model,seed,mse,rmse,mae,r2,train_time_s,infer_time_s,n_test_samples,wall_train_start_iso,wall_train_end_iso,wall_infer_start_iso,wall_infer_end_iso,energy_train_cpu_kwh,energy_train_gpu_kwh,energy_train_kwh,energy_train_duration_s,energy_train_n_samples,energy_infer_cpu_kwh,energy_infer_gpu_kwh,energy_infer_kwh,energy_infer_duration_s,energy_infer_n_samples
LightGBM +NLP,3,0.0123286648759415,0.1110345211001585,0.0867426987667341,-1.2117909131405105,0.023738145828247,0.0005335807800292,622,2026-05-07T22:54:11.401827+00:00,2026-05-07T22:54:11.425570+00:00,2026-05-07T22:54:11.425575+00:00,2026-05-07T22:54:11.426111+00:00,5.888508887697456e-07,4.399709805555556e-07,1.0288218693253011e-06,0.023743,4,1.3293352835807759e-08,9.932377777777778e-09,2.3225730613585537e-08,0.000536,4
LightGBM,4,0.0110409520048381,0.1050759344704494,0.0805031224506403,-0.9807722541291451,0.0225083827972412,0.0005202293395996,622,2026-05-07T22:54:11.426635+00:00,2026-05-07T22:54:11.449148+00:00,2026-05-07T22:54:11.449154+00:00,2026-05-07T22:54:11.449676+00:00,5.583456201353359e-07,4.171783972222222e-07,9.75524017357558e-07,0.022513,4,1.294613839606651e-08,9.67295e-09,2.2619088396066512e-08,0.000522,4
LightGBM +NLP,4,0.0123286648759415,0.1110345211001585,0.0867426987667341,-1.2117909131405105,0.0236587524414062,0.0005354881286621,622,2026-05-07T22:54:11.450174+00:00,2026-05-07T22:54:11.473838+00:00,2026-05-07T22:54:11.473844+00:00,2026-05-07T22:54:11.474382+00:00,5.868916072883485e-07,4.3850706666666673e-07,1.0253986739550154e-06,0.023664,4,1.3342954898627935e-08,9.969438888888889e-09,2.3312393787516826e-08,0.000538,4
LightGBM,5,0.0110409520048381,0.1050759344704494,0.0805031224506403,-0.9807722541291451,0.0225603580474853,0.0005176067352294,622,2026-05-07T22:54:11.474912+00:00,2026-05-07T22:54:11.497478+00:00,2026-05-07T22:54:11.497484+00:00,2026-05-07T22:54:11.498004+00:00,5.596600748000707e-07,4.181605166666667e-07,9.778205914667374e-07,0.022566,4,1.289653633324633e-08,9.635888888888889e-09,2.2532425222135217e-08,0.00052,4
LightGBM +NLP,5,0.0123286648759415,0.1110345211001585,0.0867426987667341,-1.2117909131405105,0.0236632823944091,0.0005288124084472,622,2026-05-07T22:54:11.498530+00:00,2026-05-07T22:54:11.522198+00:00,2026-05-07T22:54:11.522205+00:00,2026-05-07T22:54:11.522736+00:00,5.869908114139889e-07,4.3858118888888894e-07,1.0255720003028779e-06,0.023668,4,1.3169347678757312e-08,9.839725e-09,2.3009072678757313e-08,0.000531,4
LightGBM,6,0.0110409520048381,0.1050759344704494,0.0805031224506403,-0.9807722541291451,0.0228869915008544,0.0005252361297607,622,2026-05-07T22:54:11.523304+00:00,2026-05-07T22:54:11.546197+00:00,2026-05-07T22:54:11.546203+00:00,2026-05-07T22:54:11.546731+00:00,5.677700120711698e-07,4.2422000833333335e-07,9.919900204045031e-07,0.022893,4,1.3094944584527047e-08,9.784133333333335e-09,2.2879077917860384e-08,0.000528,4
LightGBM +NLP,6,0.0123286648759415,0.1110345211001585,0.0867426987667341,-1.2117909131405105,0.0238034725189209,0.0005316734313964,622,2026-05-07T22:54:11.547233+00:00,2026-05-07T22:54:11.571042+00:00,2026-05-07T22:54:11.571048+00:00,2026-05-07T22:54:11.571582+00:00,5.904877568428114e-07,4.4119399722222226e-07,1.0316817540650336e-06,0.023809,4,1.3243750772987581e-08,9.895316666666666e-09,2.313906743965425e-08,0.000534,4
LightGBM,7,0.0110409520048381,0.1050759344704494,0.0805031224506403,-0.9807722541291451,0.0227460861206054,0.000525951385498,622,2026-05-07T22:54:11.572135+00:00,2026-05-07T22:54:11.594888+00:00,2026-05-07T22:54:11.594894+00:00,2026-05-07T22:54:11.595422+00:00,5.642978676737574e-07,4.216257305555556e-07,9.85923598229313e-07,0.022753,4,1.3094944584527047e-08,9.784133333333335e-09,2.2879077917860384e-08,0.000528,4
LightGBM +NLP,7,0.0123286648759415,0.1110345211001585,0.0867426987667341,-1.2117909131405105,0.0235598087310791,0.0005295276641845,622,2026-05-07T22:54:11.595942+00:00,2026-05-07T22:54:11.619507+00:00,2026-05-07T22:54:11.619514+00:00,2026-05-07T22:54:11.620046+00:00,5.844363051787497e-07,4.3667254166666677e-07,1.0211088468454166e-06,0.023565,4,1.3194148710167403e-08,9.858255555555558e-09,2.305240426572296e-08,0.000532,4
LightGBM,8,0.0110409520048381,0.1050759344704494,0.0805031224506403,-0.9807722541291451,0.0226337909698486,0.0006642341613769,622,2026-05-07T22:54:11.620595+00:00,2026-05-07T22:54:11.643234+00:00,2026-05-07T22:54:11.643243+00:00,2026-05-07T22:54:11.643911+00:00,5.614705500930071e-07,4.195132472222222e-07,9.809837973152292e-07,0.022639,4,1.6567088981939518e-08,1.2378411111111112e-08,2.8945500093050632e-08,0.000668,4
LightGBM +NLP,8,0.0123286648759415,0.1110345211001585,0.0867426987667341,-1.2117909131405105,0.0237886905670166,0.0005257129669189,622,2026-05-07T22:54:11.644411+00:00,2026-05-07T22:54:11.668206+00:00,2026-05-07T22:54:11.668213+00:00,2026-05-07T22:54:11.668741+00:00,5.901405424030702e-07,4.4093456944444456e-07,1.0310751118475147e-06,0.023795,4,1.3094944584527047e-08,9.784133333333335e-09,2.2879077917860384e-08,0.000528,4
LightGBM,9,0.0110409520048381,0.1050759344704494,0.0805031224506403,-0.9807722541291451,0.0226571559906005,0.0005290508270263,622,2026-05-07T22:54:11.669278+00:00,2026-05-07T22:54:11.691940+00:00,2026-05-07T22:54:11.691947+00:00,2026-05-07T22:54:11.692478+00:00,5.620409738154393e-07,4.1993945000000006e-07,9.819804238154394e-07,0.022662,4,1.3169347678757312e-08,9.839725e-09,2.3009072678757313e-08,0.000531,4
LightGBM +NLP,9,0.0123286648759415,0.1110345211001585,0.0867426987667341,-1.2117909131405105,0.0237548351287841,0.0005230903625488,622,2026-05-07T22:54:11.693015+00:00,2026-05-07T22:54:11.716776+00:00,2026-05-07T22:54:11.716782+00:00,2026-05-07T22:54:11.717308+00:00,5.892973073351272e-07,4.4030453055555564e-07,1.0296018378906827e-06,0.023761,4,1.3045342521706867e-08,9.747072222222225e-09,2.2792414743929092e-08,0.000526,4
CatBoost,0,0.0064368851967803,0.0802302012759556,0.0647696532858233,-0.1547920501067352,0.1641230583190918,0.0003795623779296,622,2026-05-07T22:54:11.717890+00:00,2026-05-07T22:54:11.882021+00:00,2026-05-07T22:54:11.882029+00:00,2026-05-07T22:54:11.882411+00:00,4.0706180863693345e-06,3.041438613888889e-06,7.112056700258223e-06,0.164131,4,9.473993998654037e-09,7.0786722222222235e-09,1.655266622087626e-08,0.000382,4
CatBoost +NLP,0,0.0063986411687903,0.0799915068541049,0.0625201540251154,-0.1479309832806496,0.0559163093566894,0.0003235340118408,622,2026-05-07T22:54:11.883066+00:00,2026-05-07T22:54:11.938989+00:00,2026-05-07T22:54:11.938998+00:00,2026-05-07T22:54:11.939324+00:00,1.386948079546413e-06,1.0362842583333337e-06,2.423232337879747e-06,0.055923,4,8.085136239689049e-09,6.040961111111113e-09,1.4126097350800162e-08,0.000326,4
CatBoost,1,0.0061527598494626,0.0784395298906272,0.06329742831611,-0.1038193075012807,0.0540382862091064,0.0003159046173095,622,2026-05-07T22:54:11.940015+00:00,2026-05-07T22:54:11.994061+00:00,2026-05-07T22:54:11.994068+00:00,2026-05-07T22:54:11.994387+00:00,1.3403965435896755e-06,1.0015024055555556e-06,2.3418989491452313e-06,0.054046,4,7.911529019818424e-09,5.911247222222223e-09,1.3822776242040646e-08,0.000319,4
CatBoost +NLP,1,0.0056939578134588,0.07545831838478,0.0588608667124641,-0.0215091640774156,0.053790807723999,0.0003297328948974,622,2026-05-07T22:54:11.994993+00:00,2026-05-07T22:54:12.048791+00:00,2026-05-07T22:54:12.048797+00:00,2026-05-07T22:54:12.049129+00:00,1.1994483880039367e-06,1.0251926206666669e-06,2.2246410086706036e-06,0.053798,5,8.16616028334556e-09,6.7188730555555565e-09,1.4885033338901116e-08,0.000332,4
CatBoost,2,0.0058860007714515,0.0767202761429569,0.0620173754100887,-0.0559621136623986,0.0519943237304687,0.0003309249877929,622,2026-05-07T22:54:12.049772+00:00,2026-05-07T22:54:12.101775+00:00,2026-05-07T22:54:12.101783+00:00,2026-05-07T22:54:12.102116+00:00,1.2791109434181301e-06,1.0524143238194445e-06,2.331525267237575e-06,0.052003,4,8.19075715166889e-09,6.739110625000001e-09,1.492986777666889e-08,0.000333,4
CatBoost +NLP,2,0.0065824942310235,0.0811325719487774,0.0656697120606301,-0.1809146466774918,0.0583772659301757,0.0003304481506347,622,2026-05-07T22:54:12.102749+00:00,2026-05-07T22:54:12.161136+00:00,2026-05-07T22:54:12.161144+00:00,2026-05-07T22:54:12.161477+00:00,1.436137350794269e-06,1.181610967152778e-06,2.617748317947047e-06,0.058387,4,8.19075715166889e-09,6.739110625000001e-09,1.492986777666889e-08,0.000333,4
CatBoost,3,0.0065184229940577,0.0807367511983097,0.064791818670755,-0.1694201189941944,0.0524511337280273,0.0003156661987304,622,2026-05-07T22:54:12.162144+00:00,2026-05-07T22:54:12.214602+00:00,2026-05-07T22:54:12.214611+00:00,2026-05-07T22:54:12.214930+00:00,1.2903025185052452e-06,1.061622417916667e-06,2.3519249364219123e-06,0.052458,4,7.846400995142271e-09,6.4557846527777784e-09,1.430218564792005e-08,0.000319,4
CatBoost +NLP,3,0.0058589484592064,0.0765437682584706,0.0595758113480253,-0.0511088664531291,0.0516121387481689,0.0003204345703125,622,2026-05-07T22:54:12.215540+00:00,2026-05-07T22:54:12.267158+00:00,2026-05-07T22:54:12.267164+00:00,2026-05-07T22:54:12.267487+00:00,1.269641149113648e-06,1.0446228595833335e-06,2.314264008696982e-06,0.051618,4,7.94478846843559e-09,6.536734930555556e-09,1.4481523398991146e-08,0.000323,4
CatBoost,4,0.0063513683429925,0.0796954725376074,0.063578251395134,-0.1394501293041563,0.0502336025238037,0.0004138946533203,622,2026-05-07T22:54:12.268113+00:00,2026-05-07T22:54:12.318353+00:00,2026-05-07T22:54:12.318364+00:00,2026-05-07T22:54:12.318784+00:00,1.2357466645640993e-06,1.016735488888889e-06,2.252482153452988e-06,0.05024,4,1.03306846957986e-08,8.499779166666669e-09,1.8830463862465268e-08,0.00042,4
CatBoost +NLP,4,0.0061873893195577,0.0786599600785415,0.063042288341638,-0.1100319143045334,0.0534672737121582,0.0003201961517333,622,2026-05-07T22:54:12.319354+00:00,2026-05-07T22:54:12.372828+00:00,2026-05-07T22:54:12.372834+00:00,2026-05-07T22:54:12.373157+00:00,1.3152929367217487e-06,1.0821837884722224e-06,2.397476725193971e-06,0.053474,4,7.94478846843559e-09,6.536734930555556e-09,1.4481523398991146e-08,0.000323,4
CatBoost,5,0.0089623522532485,0.0946697008194728,0.0771722409180583,-0.6078666646850124,0.0505084991455078,0.0002968311309814,622,2026-05-07T22:54:12.373771+00:00,2026-05-07T22:54:12.424287+00:00,2026-05-07T22:54:12.424293+00:00,2026-05-07T22:54:12.424591+00:00,1.2425354002213384e-06,1.0223210580555557e-06,2.264856458276894e-06,0.050516,4,7.32986676035234e-09,6.030795694444445e-09,1.3360662454796784e-08,0.000298,4
CatBoost +NLP,5,0.0075912006435518,0.0871274964838988,0.0718667572000111,-0.3618789035298522,0.0540430545806884,0.0003554821014404,622,2026-05-07T22:54:12.425143+00:00,2026-05-07T22:54:12.479193+00:00,2026-05-07T22:54:12.479205+00:00,2026-05-07T22:54:12.479564+00:00,1.3294607328759867e-06,1.0938406284722224e-06,2.423301361348209e-06,0.05405,4,8.830275728075472e-09,7.265287430555557e-09,1.609556315863103e-08,0.000359,4
CatBoost,6,0.0067766300392847,0.0823202893537475,0.0654818891564358,-0.2157430584275061,0.0502469539642334,0.0003225803375244,622,2026-05-07T22:54:12.480171+00:00,2026-05-07T22:54:12.530425+00:00,2026-05-07T22:54:12.530433+00:00,2026-05-07T22:54:12.530758+00:00,1.236091020720626e-06,1.0170188148611113e-06,2.253109835581737e-06,0.050254,4,7.993982205082249e-09,6.577210069444444e-09,1.4571192274526694e-08,0.000325,4
CatBoost +NLP,6,0.0067252513457033,0.0820076298017648,0.0656030742675557,-0.2065256023010007,0.052229881286621,0.0003316402435302,622,2026-05-07T22:54:12.531347+00:00,2026-05-07T22:54:12.583589+00:00,2026-05-07T22:54:12.583594+00:00,2026-05-07T22:54:12.583928+00:00,1.2849895949474059e-06,1.0572511029166666e-06,2.3422406978640726e-06,0.052242,4,8.21535401999222e-09,6.7593481944444446e-09,1.4974702214436665e-08,0.000334,4
CatBoost,7,0.0067695291772636,0.0822771485727577,0.0687752440856726,-0.2144691474037483,0.05010986328125,0.0003390312194824,622,2026-05-07T22:54:12.584574+00:00,2026-05-07T22:54:12.634692+00:00,2026-05-07T22:54:12.634700+00:00,2026-05-07T22:54:12.635042+00:00,1.2327458466286532e-06,1.0142665054166669e-06,2.2470123520453202e-06,0.050118,4,8.412128966578862e-09,6.921248750000002e-09,1.5333377716578862e-08,0.000342,4
CatBoost +NLP,7,0.0061289384198231,0.0782875368102941,0.0642547660625425,-0.0995456880830605,0.0533118247985839,0.0003340244293212,622,2026-05-07T22:54:12.635790+00:00,2026-05-07T22:54:12.689111+00:00,2026-05-07T22:54:12.689119+00:00,2026-05-07T22:54:12.689456+00:00,1.3115296158682789e-06,1.0790874403472225e-06,2.3906170562155013e-06,0.053321,4,8.289144624962212e-09,6.82006090277778e-09,1.5109205527739992e-08,0.000337,4
CatBoost,8,0.006868266876619,0.0828750075512456,0.065577160757504,-0.2321829183932398,0.0518429279327392,0.0005116462707519,622,2026-05-07T22:54:12.690089+00:00,2026-05-07T22:54:12.741942+00:00,2026-05-07T22:54:12.741956+00:00,2026-05-07T22:54:12.742472+00:00,1.2754214131696308e-06,1.049378688402778e-06,2.3248001015724088e-06,0.051853,4,1.269198405483828e-08,1.0442585833333334e-08,2.3134569888171614e-08,0.000516,4
CatBoost +NLP,8,0.0062136486246966,0.0788266999480292,0.0648184069719263,-0.1147428942099819,0.0604908466339111,0.0003275871276855,622,2026-05-07T22:54:12.743643+00:00,2026-05-07T22:54:12.804146+00:00,2026-05-07T22:54:12.804154+00:00,2026-05-07T22:54:12.804484+00:00,1.4881843241664353e-06,1.2244336640972225e-06,2.7126179882636578e-06,0.060503,4,8.1169665466989e-09,6.678397916666668e-09,1.4795364463365568e-08,0.00033,4
CatBoost,9,0.0060073317282938,0.0775069785780213,0.0610445220197176,-0.0777291671533311,0.0515260696411132,0.0003695487976074,622,2026-05-07T22:54:12.805189+00:00,2026-05-07T22:54:12.856724+00:00,2026-05-07T22:54:12.856733+00:00,2026-05-07T22:54:12.857105+00:00,1.2675996090428115e-06,1.0429431413194446e-06,2.310542750362256e-06,0.051535,4,9.15003501627876e-09,7.528375833333334e-09,1.6678410849612094e-08,0.000372,4
CatBoost +NLP,9,0.006015236491137,0.0775579556920957,0.0627405225921557,-0.0791472998386728,0.0535085201263427,0.000340461730957,622,2026-05-07T22:54:12.857732+00:00,2026-05-07T22:54:12.911248+00:00,2026-05-07T22:54:12.911257+00:00,2026-05-07T22:54:12.911600+00:00,1.3163260051913284e-06,1.083033766388889e-06,2.3993597715802177e-06,0.053516,4,8.436725834902191e-09,6.9414863194444456e-09,1.5378212154346637e-08,0.000343,4
