model,seed,accuracy,f1,train_time_s,infer_time_s,n_test_samples,wall_train_start_iso,wall_train_end_iso,wall_infer_start_iso,wall_infer_end_iso
RoBERTa-base,7,0.4344069128043991,0.28232933271956917,49.02987003326416,0.940838098526001,2546,2026-05-07T22:42:28.195916+00:00,2026-05-07T22:43:17.225809+00:00,2026-05-07T22:43:18.133556+00:00,2026-05-07T22:43:19.074400+00:00
RoBERTa-base,8,0.42733699921445406,0.2839955816783352,49.08701038360596,0.926417350769043,2546,2026-05-07T22:43:19.742108+00:00,2026-05-07T22:44:08.829133+00:00,2026-05-07T22:44:09.717682+00:00,2026-05-07T22:44:10.644105+00:00
RoBERTa-base,9,0.4340141398271799,0.2774843753223488,49.16027617454529,0.9595901966094971,2546,2026-05-07T22:44:11.301451+00:00,2026-05-07T22:45:00.461745+00:00,2026-05-07T22:45:01.372770+00:00,2026-05-07T22:45:02.332366+00:00
FinBERT,0,0.3880597014925373,0.3337257701487942,46.620718240737915,0.9467761516571045,2546,2026-05-07T22:45:03.208987+00:00,2026-05-07T22:45:49.829724+00:00,2026-05-07T22:45:50.749793+00:00,2026-05-07T22:45:51.696577+00:00
FinBERT,1,0.3845247446975648,0.3254800146437046,46.719136476516724,0.9934756755828857,2546,2026-05-07T22:45:52.570375+00:00,2026-05-07T22:46:39.289535+00:00,2026-05-07T22:46:40.268457+00:00,2026-05-07T22:46:41.261939+00:00
FinBERT,2,0.4253731343283582,0.2821776646973789,46.754576683044434,0.9948327541351318,2546,2026-05-07T22:46:42.126786+00:00,2026-05-07T22:47:28.881383+00:00,2026-05-07T22:47:29.836928+00:00,2026-05-07T22:47:30.831767+00:00
FinBERT,3,0.3970934799685782,0.33359253152167784,46.658469438552856,0.9925427436828613,2546,2026-05-07T22:47:31.730452+00:00,2026-05-07T22:48:18.388936+00:00,2026-05-07T22:48:19.352730+00:00,2026-05-07T22:48:20.345279+00:00
FinBERT,4,0.4112333071484682,0.3224402752862552,46.722034215927124,0.9738492965698242,2546,2026-05-07T22:48:21.223164+00:00,2026-05-07T22:49:07.945212+00:00,2026-05-07T22:49:08.886083+00:00,2026-05-07T22:49:09.859940+00:00
FinBERT,5,0.3680282796543598,0.33658647007513576,46.5610134601593,0.9995527267456055,2546,2026-05-07T22:49:10.754175+00:00,2026-05-07T22:49:57.315202+00:00,2026-05-07T22:49:58.268057+00:00,2026-05-07T22:49:59.267615+00:00
FinBERT,6,0.384917517674784,0.33430657777323636,46.61832332611084,1.0339813232421875,2546,2026-05-07T22:50:00.139222+00:00,2026-05-07T22:50:46.757566+00:00,2026-05-07T22:50:47.716868+00:00,2026-05-07T22:50:48.750856+00:00
FinBERT,7,0.37941869599371564,0.33913368709584835,46.70429587364197,1.0015418529510498,2546,2026-05-07T22:50:49.697075+00:00,2026-05-07T22:51:36.401386+00:00,2026-05-07T22:51:37.390722+00:00,2026-05-07T22:51:38.392269+00:00
FinBERT,8,0.40298507462686567,0.34010545812009985,46.91454315185547,1.0158417224884033,2546,2026-05-07T22:51:39.303147+00:00,2026-05-07T22:52:26.217709+00:00,2026-05-07T22:52:27.203873+00:00,2026-05-07T22:52:28.219721+00:00
FinBERT,9,0.37470542026708564,0.3437319496633207,47.0289888381958,1.0205645561218262,2546,2026-05-07T22:52:29.123733+00:00,2026-05-07T22:53:16.152738+00:00,2026-05-07T22:53:17.140081+00:00,2026-05-07T22:53:18.160652+00:00
