timestamp_iso,cpu_energy_j,gpu_power_w,gpu_util_pct
2026-05-07T23:46:08.440067Z,103245.488193,25.233,0
2026-05-07T23:46:09.441634Z,103248.061612,25.435,0
2026-05-07T23:46:10.443250Z,103250.869954,25.466,0
2026-05-07T23:46:11.444803Z,103253.49983,25.708,0
2026-05-07T23:46:12.446407Z,103256.049445,25.534,0
2026-05-07T23:46:13.447390Z,103258.529114,25.559,0
2026-05-07T23:46:14.448825Z,103261.114862,25.415,0
2026-05-07T23:46:15.450359Z,103263.616503,25.398,0
2026-05-07T23:46:16.451475Z,103266.174602,25.029,0
2026-05-07T23:46:17.453010Z,103268.661473,25.028,0
2026-05-07T23:46:18.454545Z,103271.37161,25.752,0
2026-05-07T23:46:19.456086Z,103273.965903,25.149,0
2026-05-07T23:46:20.457620Z,103276.609146,25.217,0
2026-05-07T23:46:21.459160Z,103279.074716,24.87,0
2026-05-07T23:46:22.460702Z,103281.692324,25.166,0
2026-05-07T23:46:23.462247Z,103284.518061,24.928,0
2026-05-07T23:46:24.463461Z,103287.085621,25.381,0
2026-05-07T23:46:25.464987Z,103289.605817,25.225,0
2026-05-07T23:46:26.466507Z,103292.727879,24.982,0
2026-05-07T23:46:27.467480Z,103295.204191,24.967,0
2026-05-07T23:46:28.468939Z,103300.575637,25.44,0
2026-05-07T23:46:29.470403Z,103303.318367,25.363,0
2026-05-07T23:46:30.471941Z,103305.832704,25.177,0
2026-05-07T23:46:31.473418Z,103308.477839,25.101,0
2026-05-07T23:46:32.474949Z,103310.887928,24.94,0
2026-05-07T23:46:33.476420Z,103313.584332,25.01,0
2026-05-07T23:46:34.477808Z,103316.016943,25.108,0
2026-05-07T23:46:35.479250Z,103318.703582,25.32,0
2026-05-07T23:46:36.480723Z,103321.1614,25.628,0
2026-05-07T23:46:37.482214Z,103323.841264,25.197,0
2026-05-07T23:46:38.483476Z,103326.508981,25.193,0
2026-05-07T23:46:39.485012Z,103329.204226,25.025,0
2026-05-07T23:46:40.485682Z,103331.692867,25.092,0
2026-05-07T23:46:41.486419Z,103334.356068,25.283,0
2026-05-07T23:46:42.487385Z,103336.805891,25.186,0
2026-05-07T23:46:43.488443Z,103339.481238,24.949,0
